HeadX,HeadY,TailX,TailY,Start,End
143.87,499.62,90.054,478.09,2,12
372.57,494.23,340.28,521.14,2,3
220.61,829.18,174,820.45,2,26
677.91,596.16,628.4,575.77,2,39
718.69,135.94,744.91,162.16,2,8
899.29,409.74,931.33,441.79,2,11
1615.8,165.07,1604.2,202.94,2,8
1749.8,849.57,1685.7,849.57,2,6
969.19,631.12,908.02,645.68,2,10
194.39,1033.1,139.05,1030.2,2,181
453.63,1723.4,450.72,1761.3,2,31
211.87,1705.9,159.44,1717.6,2,26
875.98,1638.9,896.37,1691.4,2,4
1414.8,1726.3,1420.7,1682.6,2,11
1557.6,1534.1,1560.5,1478.7,2,7
401.2,992.3,366.25,1033.1,2,98
756.56,176.72,788.6,200.02,4,10
1560.5,232.07,1522.6,214.59,4,8
1085.7,747.63,1082.8,785.49,4,10
916.76,715.59,875.98,715.59,4,53
680.83,1024.3,634.22,1001,4,12
747.82,1274.8,715.78,1237,4,7
1781.9,858.31,1732.3,878.7,6,8
811.9,1248.6,771.12,1263.2,7,74
989.58,756.36,969.19,776.75,7,31
1289.6,1070.9,1240.1,1047.6,7,9
1563.4,1571.9,1586.7,1522.4,7,11
1811,902,1767.3,896.18,8,157
363.76,861.22,308.05,877.93,8,0
514.8,1720.5,511.89,1764.2,8,84
1097.4,750.54,1088.6,797.14,10,13
806.08,205.85,762.38,229.15,10,21
960.45,692.28,934.24,666.07,10,34
1446.9,1764.2,1429.4,1720.5,11,26
1371.2,240.8,1371.2,188.37,11,13
1615.8,147.6,1601.3,159.25,11,26
972.1,371.88,937.15,389.36,11,87
718.69,1027.3,663.35,1009.8,12,17
147.79,532.08,121.57,517.52,12,17
858.51,1691.4,811.9,1662.2,12,14
1400.3,1245.7,1353.7,1257.4,12,15
860.87,1271.6,843.63,1317.5,12,21
1653.7,1073.9,1691.6,1105.9,12,13
1455.6,258.28,1403.2,252.45,13,15
1636.2,258.28,1595.4,223.33,13,16
1062.4,779.67,1103.2,765.1,13,34
1551.7,1580.7,1534.3,1539.9,13,58
1755.6,1234.1,1761.5,1289.4,13,15
1543,852.49,1528.4,907.83,13,31
835.2,1738,846.86,1685.5,14,16
1720.7,1248.6,1752.7,1271.9,15,17
1446.9,1298.1,1411.9,1318.5,15,39
1519.7,258.28,1461.5,267.02,15,16
826.47,1775.8,852.68,1729.2,16,18
1677,226.24,1621.7,234.98,16,18
1511,319.45,1473.1,281.58,16,18
1685.7,1269,1735.3,1280.7,17,31
1595.4,948.61,1545.9,971.91,17,18
1318.7,1041.8,1263.4,1068,17,44
742,223.33,701.22,202.94,17,34
191.48,578.69,147.79,549.56,17,21
613.83,636.94,575.97,671.89,18,26
730.34,992.3,675,1001,18,76
1703.2,258.28,1677,223.33,18,26
1566.3,267.02,1513.9,287.41,18,21
1706.1,1065.1,1697.4,1123.4,18,31
235.17,549.56,188.57,555.38,21,31
1030.4,494.21,975.02,514.6,21,236
1688.6,872.88,1665.3,840.83,21,26
855.59,1260.3,870.16,1309.8,26,34
625.48,599.07,613.83,642.77,26,52
1647.9,171.41,1630.7,211.63,26,143
462.37,508.78,462.37,546.64,31,52
1700.3,1190.4,1662.4,1202,31,36
989.58,1644.8,989.58,1691.4,31,39
1012.9,791.32,966.28,776.75,31,43
1708.3,386.85,1676.7,392.6,31,34
1619.2,421.32,1567.5,412.7,31,65
717.24,263.33,708.63,223.12,34,56
124.49,607.81,101.19,654.42,34,36
1237.2,1746.7,1193.5,1743.8,34,39
1141,1644.8,1120.7,1688.5,34,39
1793.5,258.28,1741.1,255.37,34,44
1021.6,634.03,980.84,631.12,36,119
875.98,331.1,841.03,351.49,36,46
1831.8,292.06,1785.8,280.57,36,39
1499.3,1793.3,1446.9,1764.2,36,41
144.88,543.73,133.23,593.25,36,41
782.77,596.16,718.69,564.12,39,137
1524.4,1265.8,1484.2,1254.3,39,54
1820.3,340.89,1794.4,300.68,39,42
421.59,529.17,389.55,543.73,41,161
1788.7,363.87,1785.8,323.66,42,186
958.53,766.02,975.77,789,43,54
1794.4,300.68,1777.2,251.84,44,48
1751.3,901.03,1714,898.16,44,52
1349.2,1079.1,1309,1044.7,44,50
136.14,1304,109.92,1344.7,46,55
1016,1622,984.39,1668,48,68
654.61,564.12,631.31,599.07,52,71
1056.6,1697.2,1065.3,1659.3,52,71
1374.1,1120.5,1379.9,1085.5,52,53
156.53,881.61,101.19,884.53,52,56
220.61,296.15,171.09,307.8,52,53
1708.3,432.81,1731.2,386.85,52,57
582.44,1002.8,520.56,986.62,53,57
251.49,268.22,205.75,295.13,53,56
937.15,750.54,916.76,730.15,53,80
1359.5,1210.8,1350.8,1175.8,53,65
238.09,1793.3,182.74,1790.4,53,54
1312.9,1807.9,1272.1,1845.7,53,54
255.56,1068,203.13,1082.6,54,70
995.41,750.54,977.93,794.23,54,55
1601.3,1321.4,1566.3,1292.3,54,143
1356.6,1787.5,1312.9,1816.6,54,55
211.87,1842.8,179.83,1799.1,54,55
208.96,1758.4,179.83,1796.2,55,138
1406.1,1825.4,1350.8,1825.4,55,57
1752.7,983.56,1720.7,945.69,55,58
200.22,837.92,150.7,884.53,56,57
1700.3,517.52,1717.8,491.3,57,74
1446.9,1802,1397.4,1831.2,57,64
1589.6,1534.1,1601.3,1487.5,57,93
1541.7,1616.3,1544.5,1567.5,58,65
1785.8,1010.2,1742.7,969.97,58,59
1755.6,1041.8,1732.3,992.3,59,68
602.18,951.52,567.23,980.65,59,61
1748.5,162.8,1705.4,142.69,60,89
610.92,884.53,570.14,904.92,61,74
1481.8,1770,1429.4,1793.3,64,71
1344.9,1245.7,1347.9,1184.5,65,77
1633.6,378.23,1593.4,412.7,65,68
1365.3,1493.3,1397.4,1475.8,65,71
916.76,371.88,870.16,403.92,67,78
532.28,194.2,567.23,232.07,67,70
261.39,1033.1,238.09,1073.9,70,72
476.93,205.85,517.71,205.85,70,71
1516.8,1764.2,1476,1775.8,71,74
1347.9,1528.2,1385.7,1490.4,71,74
450.72,170.9,485.67,205.85,71,74
672.09,534.99,628.4,569.95,72,74
316.73,1001,281.78,1015.6,73,79
616.75,832.1,581.79,861.22,74,80
960.45,1691.4,925.5,1682.6,74,93
447.81,138.86,439.07,185.46,74,76
1706.1,581.6,1709,529.17,74,77
811.9,1283.6,765.3,1245.7,74,82
1540.1,1726.3,1502.2,1758.4,74,79
331.29,118.47,360.42,167.98,77,184
1350.8,1289.4,1342,1225.3,77,155
1717.8,642.77,1709,581.6,77,115
185.66,1478.7,200.22,1539.9,77,107
1237.2,1542.8,1283.8,1519.5,77,80
1369.3,878.05,1386.5,834.96,77,80
791.51,1717.6,826.47,1749.6,78,81
1502.2,534.99,1493.5,488.39,78,103
808.99,447.61,759.47,450.52,80,87
1071.1,724.32,1024.5,756.36,80,186
599.27,782.58,575.97,811.71,80,87
1219.9,1576.1,1268.8,1535.9,80,84
1044.9,1656.4,1094.4,1641.8,83,91
771.12,1382.6,800.25,1338.9,84,112
1158.5,1586.5,1208,1577.8,84,93
500.24,1711.8,506.06,1778.7,84,246
1682.4,1544.5,1656.6,1504.3,85,86
1754.2,1645,1760,1593.3,85,94
1682.8,1589.4,1682.8,1537,86,87
1007.1,368.97,963.37,366.05,87,89
841.03,447.61,794.43,462.17,87,112
727.43,444.7,672.09,459.26,87,94
1050.7,695.2,995.41,692.28,87,124
989.58,689.37,948.8,668.98,87,131
887.63,741.8,928.41,738.89,87,107
721.61,1021.4,680.83,989.39,87,107
1362.4,1298.1,1417.8,1309.8,87,154
1800.2,1754.2,1805.9,1702.5,87,98
328.38,1100.1,337.12,1164.2,89,93
1039.1,1592.3,1007.1,1621.5,89,117
1777.2,1722.6,1742.7,1688.1,89,94
1811.7,1642.1,1794.4,1688.1,89,96
1751.3,200.14,1714,162.8,89,94
